run_id,params,best_epoch,best_val_score,own_test_acc,own_test_macro_f1,own_test_dos_sat,own_test_scan_sat,own_test_dos_loss,own_test_scan_loss,cross_acc,cross_macro_f1,cross_dos_sat,cross_scan_sat,cross_dos_loss,cross_scan_loss,final_score,runtime_seconds,status
bs524_lr0.0001_ldos0.25_lscan0.25_pgd5_step0.01,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.25, 'pgd_steps': 5, 'pgd_step_size': 0.01}",8,3.528960349335557,0.845702385460053,0.8566933587396176,0.9581589958158996,0.9319852941176471,0.022642479259371986,0.008673075600253308,0.8750434799516913,0.8607102243942095,0.17008276854406437,0.17249928163558076,5.032089752344696,0.6241428473870211,1.0333473050225463,143.10258841514587,ok
bs524_lr0.0001_ldos0.25_lscan0.5_pgd3_step0.001,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.5, 'pgd_steps': 3, 'pgd_step_size': 0.001}",20,3.579156118230653,0.8708822415751609,0.8795058235371465,0.9615823507036896,0.9299172794117647,0.02343805600772479,0.014949684743495548,0.607400341790229,0.6570777393791316,0.16677505147378133,0.17277366443631617,5.079069160115022,0.35032581670156454,0.860836585249096,160.6606216430664,ok
bs524_lr0.0001_ldos0.25_lscan0.5_pgd3_step0.01,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.5, 'pgd_steps': 3, 'pgd_step_size': 0.01}",18,3.5701542651980795,0.8866906474820144,0.8925463029662829,0.9562571319893496,0.8607536764705882,0.028139825112559396,0.029534817686961853,0.749084490458176,0.7703025432954206,0.1628235070442923,0.17254573226720132,5.092724839202001,0.4631360104706209,0.9657240088748227,161.33450984954834,ok
bs524_lr0.0001_ldos0.25_lscan0.5_pgd5_step0.001,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.5, 'pgd_steps': 5, 'pgd_step_size': 0.001}",15,3.608219766498917,0.8891991669822037,0.895083096143528,0.9608216051730696,0.8965992647058824,0.021634677101242627,0.019300006932633763,0.8909717256085573,0.8771253278302501,0.1664552982886723,0.17254249152546033,5.067437477695189,0.6278033712209331,1.0627106342228385,200.35700821876526,ok
bs524_lr0.0001_ldos0.25_lscan0.5_pgd5_step0.01,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.5, 'pgd_steps': 5, 'pgd_step_size': 0.01}",20,3.603529721335232,0.8873532752745172,0.8912487043019509,0.9623430962343096,0.9204963235294118,0.01637268428024388,0.019918061135446325,0.9016229634638776,0.886301459887962,0.16258261190821355,0.17277366443631617,5.079921006433296,0.5445210028860301,1.0693580148984378,204.39168000221252,ok
bs524_lr0.0001_ldos0.25_lscan0.75_pgd3_step0.001,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.75, 'pgd_steps': 3, 'pgd_step_size': 0.001}",19,3.5986395244134135,0.8962987504733055,0.8998593654600029,0.9596804868771396,0.8979779411764706,0.02487921478994086,0.03783639219096478,0.9282456568659435,0.9166286799736812,0.16100221018586733,0.17254573226720132,5.095351227443603,0.6121238183317641,1.0960196602332852,164.26028895378113,ok
bs524_lr0.0001_ldos0.25_lscan0.75_pgd3_step0.01,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.75, 'pgd_steps': 3, 'pgd_step_size': 0.01}",15,3.5783420925882092,0.8876372586141613,0.8937098486941322,0.9577786230505896,0.8717830882352942,0.02913845177157472,0.026892967891934162,0.9182047587051725,0.909548113914063,0.16267875391319564,0.17254573226720132,5.096985669769668,0.5765470522949252,1.0865049060302419,164.41428208351135,ok
bs524_lr0.0001_ldos0.25_lscan0.75_pgd5_step0.001,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.75, 'pgd_steps': 5, 'pgd_step_size': 0.001}",13,3.605136671405161,0.8911870503597122,0.8968818438487149,0.9612019779383796,0.8823529411764706,0.022011756828956706,0.018234137185465765,0.7064752180479068,0.7199683656526815,0.16545390909071267,0.17254573226720132,5.061965915487274,0.4943321890601021,0.9295405270823982,190.74267172813416,ok
bs524_lr0.0001_ldos0.25_lscan0.75_pgd5_step0.01,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 0.75, 'pgd_steps': 5, 'pgd_step_size': 0.01}",14,3.538208606361408,0.8803010223400227,0.8860303200967438,0.9593001141118296,0.8359375,0.026872955968326468,0.04961089137941599,0.9079704962871902,0.896317641730881,0.1650164089556818,0.17252952855849646,5.078691450161587,0.6342192483279269,1.073816238238951,199.78822469711304,ok
bs524_lr0.0001_ldos0.25_lscan1.0_pgd3_step0.001,"{'batch_size': 524, 'learning_rate': 0.0001, 'lambda_dos': 0.25, 'lambda_scan': 1.0, 'pgd_steps': 3, 'pgd_step_size': 0.001}",14,3.5683243639708935,0.8833301779628928,0.8894209160774084,0.9596804868771396,0.8816636029411765,0.0249467535747145,0.03035235610407065,0.8942556772394066,0.8826100601861455,0.16480576074251874,0.17249928163558076,5.076255780999062,0.6212403797759142,1.0641319520729549,159.07254457473755,ok
